cohort_month,cohort_label,activity_month,activity_label,cohort_index,cohort_size,retained_customers,retention_rate,retention_rate_percent,cohort_revenue,revenue_per_acquired_customer,revenue_per_retained_customer,cumulative_cohort_revenue,cumulative_revenue_per_customer,is_complete_cohort_month,is_complete_activity_month,is_complete_observation
2009-12-01,2009-12,2009-12-01,2009-12,0,955,955,1.0,100.0,683504.01,715.71,715.71,683504.01,715.71,true,true,true
2009-12-01,2009-12,2010-01-01,2010-01,1,955,337,0.3529,35.29,394723.98,413.32,1171.29,1078227.99,1129.03,true,true,true
2009-12-01,2009-12,2010-02-01,2010-02,2,955,319,0.334,33.4,295931.57,309.88,927.69,1374159.56,1438.91,true,true,true
2009-12-01,2009-12,2010-03-01,2010-03,3,955,406,0.4251,42.51,378663.12,396.51,932.67,1752822.68,1835.42,true,true,true
2009-12-01,2009-12,2010-04-01,2010-04,4,955,363,0.3801,38.01,305901.29,320.32,842.7,2058723.97,2155.73,true,true,true
2009-12-01,2009-12,2010-05-01,2010-05,5,955,343,0.3592,35.92,305066.66,319.44,889.41,2363790.63,2475.17,true,true,true
2009-12-01,2009-12,2010-06-01,2010-06,6,955,360,0.377,37.7,301963.28,316.19,838.79,2665753.91,2791.37,true,true,true
2009-12-01,2009-12,2010-07-01,2010-07,7,955,327,0.3424,34.24,312812.83,327.55,956.61,2978566.74,3118.92,true,true,true
2009-12-01,2009-12,2010-08-01,2010-08,8,955,321,0.3361,33.61,331787.09,347.42,1033.6,3310353.83,3466.34,true,true,true
2009-12-01,2009-12,2010-09-01,2010-09,9,955,346,0.3623,36.23,391539.48,409.99,1131.62,3701893.31,3876.33,true,true,true
2009-12-01,2009-12,2010-10-01,2010-10,10,955,403,0.422,42.2,460559.66,482.26,1142.83,4162452.97,4358.59,true,true,true
2009-12-01,2009-12,2010-11-01,2010-11,11,955,473,0.4953,49.53,571512.94,598.44,1208.27,4733965.91,4957.03,true,true,true
2009-12-01,2009-12,2010-12-01,2010-12,12,955,359,0.3759,37.59,343430.89,359.61,956.63,5077396.8,5316.65,true,true,true
2009-12-01,2009-12,2011-01-01,2011-01,13,955,270,0.2827,28.27,308663.89,323.21,1143.2,5386060.69,5639.85,true,true,true
2009-12-01,2009-12,2011-02-01,2011-02,14,955,233,0.244,24.4,215062.67,225.2,923.02,5601123.36,5865.05,true,true,true
2009-12-01,2009-12,2011-03-01,2011-03,15,955,289,0.3026,30.26,256376.35,268.46,887.12,5857499.71,6133.51,true,true,true
