customer_id,first_purchase_date,first_purchase_month,second_purchase_date,total_orders,total_customer_revenue,is_repeat_customer,hours_to_second_purchase,days_to_second_purchase,customer_type,second_purchase_interval,second_purchase_interval_order
12362,2009-12-01,2009-12-01,2011-02-17,11,5356.23,true,10632,443.01,Repeat customer,181+ days,5
12490,2009-12-01,2009-12-01,2010-01-31,21,9823.64,true,1465,61.01,Repeat customer,61–90 days,3
12533,2009-12-01,2009-12-01,2010-03-22,2,1367.89,true,2663,110.96,Repeat customer,91–180 days,4
12636,2009-12-01,2009-12-01,,1,141,false,,,One-time customer,No repeat purchase,0
12682,2009-12-01,2009-12-01,2009-12-08,52,22950.22,true,174,7.24,Repeat customer,0–30 days,1
12758,2009-12-01,2009-12-01,2010-03-24,7,9903.24,true,2708,112.83,Repeat customer,91–180 days,4
12836,2009-12-01,2009-12-01,2010-01-21,15,6559.73,true,1223,50.97,Repeat customer,31–60 days,2
12913,2009-12-01,2009-12-01,2009-12-07,13,6283.24,true,146,6.11,Repeat customer,0–30 days,1
12921,2009-12-01,2009-12-01,2009-12-03,74,35233.24,true,45,1.86,Repeat customer,0–30 days,1
12931,2009-12-01,2009-12-01,2009-12-03,57,92347.34,true,54,2.25,Repeat customer,0–30 days,1
13078,2009-12-01,2009-12-01,2009-12-08,57,29018.06,true,172,7.18,Repeat customer,0–30 days,1
13085,2009-12-01,2009-12-01,2009-12-01,8,2433.28,true,0,0.0,Repeat customer,0–30 days,1
13097,2009-12-01,2009-12-01,2009-12-09,28,13324.1,true,188,7.84,Repeat customer,0–30 days,1
13110,2009-12-01,2009-12-01,2010-01-18,12,2957.47,true,1152,48.0,Repeat customer,31–60 days,2
13381,2009-12-01,2009-12-01,2010-02-16,12,8224.37,true,1843,76.81,Repeat customer,61–90 days,3
13394,2009-12-01,2009-12-01,2010-01-07,19,6621.7,true,891,37.09,Repeat customer,31–60 days,2
13442,2009-12-01,2009-12-01,2010-01-05,3,419.87,true,842,35.05,Repeat customer,31–60 days,2
13526,2009-12-01,2009-12-01,2009-12-01,2,1182,true,1,0.01,Repeat customer,0–30 days,1
13585,2009-12-01,2009-12-01,2010-05-10,3,684.54,true,3842,160.05,Repeat customer,91–180 days,4
13590,2009-12-01,2009-12-01,2010-01-27,18,6336.04,true,1367,56.97,Repeat customer,31–60 days,2
13599,2009-12-01,2009-12-01,2009-12-15,33,9811.04,true,340,14.17,Repeat customer,0–30 days,1
13635,2009-12-01,2009-12-01,2009-12-15,4,2999.16,true,339,14.1,Repeat customer,0–30 days,1
13648,2009-12-01,2009-12-01,2010-02-07,8,1764.02,true,1628,67.83,Repeat customer,61–90 days,3
13748,2009-12-01,2009-12-01,2010-10-18,9,2064.35,true,7697,320.68,Repeat customer,181+ days,5
13758,2009-12-01,2009-12-01,2009-12-15,15,8698.13,true,338,14.11,Repeat customer,0–30 days,1
13767,2009-12-01,2009-12-01,2009-12-07,73,33903.57,true,150,6.23,Repeat customer,0–30 days,1
13819,2009-12-01,2009-12-01,2009-12-11,6,2642.35,true,238,9.93,Repeat customer,0–30 days,1
14040,2009-12-01,2009-12-01,2009-12-17,35,12523.81,true,384,16.02,Repeat customer,0–30 days,1
14061,2009-12-01,2009-12-01,2009-12-15,3,917.43,true,335,14.0,Repeat customer,0–30 days,1
14108,2009-12-01,2009-12-01,2009-12-08,4,1044.96,true,165,6.89,Repeat customer,0–30 days,1
14110,2009-12-01,2009-12-01,2009-12-17,33,12987.95,true,387,16.11,Repeat customer,0–30 days,1
14156,2009-12-01,2009-12-01,2009-12-01,156,313437.62,true,0,0.0,Repeat customer,0–30 days,1
